date,temperature,humidity,luminosity
2022-11-10 15:10:47.639,23.1,34.0,173
2022-11-10 15:10:46.366,23.1,34.0,174
2022-11-10 15:10:45.363,23.1,34.0,175
2022-11-10 15:10:44.084,23.1,34.0,175
2022-11-10 15:10:43.081,23.1,34.0,178
2022-11-10 15:10:41.807,23.1,34.0,177
2022-11-10 15:10:40.802,23.1,34.0,177
2022-11-10 15:10:39.525,23.1,34.0,177
2022-11-10 15:10:38.525,23.1,34.0,177
2022-11-10 15:10:37.247,23.1,34.0,177
2022-11-10 15:10:36.244,23.1,34.0,177
2022-11-10 15:10:34.965,23.1,34.1,178
2022-11-10 15:10:33.966,23.1,34.1,176
2022-11-10 15:10:32.688,23.1,34.2,178
2022-11-10 15:10:31.685,23.1,34.2,178
2022-11-10 15:10:30.410,23.1,34.2,177
2022-11-10 15:10:29.407,23.1,34.2,177
2022-11-10 15:10:28.129,23.1,34.2,177
2022-11-10 15:10:27.125,23.1,34.2,177
2022-11-10 15:10:25.851,23.1,34.3,177
2022-11-10 15:10:24.848,23.1,34.3,178
2022-11-10 15:10:23.570,23.1,34.3,177
2022-11-10 15:10:22.569,23.1,34.3,178
2022-11-10 15:10:21.291,23.1,34.4,177
2022-11-10 15:10:20.289,23.1,34.4,177
2022-11-10 15:10:19.009,23.1,34.4,178
2022-11-10 15:10:18.010,23.1,34.4,178
2022-11-10 15:10:16.732,23.1,34.4,177
2022-11-10 15:10:15.729,23.1,34.4,177
2022-11-10 15:10:14.454,23.1,34.4,177
2022-11-10 15:10:13.451,23.1,34.4,176
2022-11-10 15:10:12.172,23.1,34.4,177
2022-11-10 15:10:11.173,23.1,34.4,174
2022-11-10 15:10:09.896,23.1,34.4,175
2022-11-10 15:10:08.892,23.1,34.4,176
2022-11-10 15:10:07.614,23.1,34.3,178
2022-11-10 15:10:06.614,23.1,34.3,177
2022-11-10 15:10:05.337,23.1,34.3,178
2022-11-10 15:10:04.333,23.1,34.3,178
2022-11-10 15:10:03.055,23.1,34.3,177
2022-11-10 15:10:02.054,23.1,34.3,178
2022-11-10 15:10:00.777,23.1,34.2,177
2022-11-10 15:09:59.773,23.1,34.2,177
2022-11-10 15:09:58.499,23.1,34.2,178
2022-11-10 15:09:57.496,23.1,34.2,177
2022-11-10 15:09:56.218,23.1,34.2,177
2022-11-10 15:09:55.214,23.1,34.2,178
2022-11-10 15:09:53.940,23.1,34.2,177
2022-11-10 15:09:52.936,23.1,34.2,177
2022-11-10 15:09:51.658,23.1,34.1,178
2022-11-10 15:09:50.659,23.1,34.1,178
2022-11-10 15:09:49.381,23.1,34.1,178
2022-11-10 15:09:48.378,23.1,34.1,178
2022-11-10 15:09:47.099,23.1,34.1,177
2022-11-10 15:09:46.099,23.1,34.1,178
2022-11-10 15:09:44.821,23.1,34.0,175
2022-11-10 15:09:43.818,23.1,34.0,161
2022-11-10 15:09:42.539,23.1,34.0,163
2022-11-10 15:09:41.541,23.1,34.0,162
2022-11-10 15:09:40.261,23.1,33.9,170
2022-11-10 15:09:39.258,23.1,33.9,175
2022-11-10 15:09:37.985,23.1,33.9,174
